Vendedor,Visitas,Total Visitas,Total Km,Total Horas
ECECB539,"[11901737, 11902188, 11903776, 11905818, 11905960, 11910838, 11911731, 11912490, 11917085, 11922175, 12111352, 12183419]",12,60.08581195835853,2.0
ECECB536,"[11901737, 11903776, 11905818, 11905960, 11911731, 11912490, 11922175, 12111352, 12286653, 13009027, 14016780, 14215187]",12,47.39764170428726,2.0
ECECB058,"[11912780, 12649306, 12845428, 14081216]",4,1.4482531384893953,0.6666666666666666
ECECB007,"[11906298, 11906472, 11909011, 11910838, 11915415, 11919007, 11919449, 11921698, 11926048, 11926067, 12170711, 12505211]",12,44.53398161822103,2.0
ECECB548,"[11902188, 11905960, 11909011, 11910838, 11911731, 11917085, 11922175, 11926048, 11926067, 12170711, 12183419, 12505211]",12,58.901548817379535,2.0
ECECB048,"[11906298, 11906472, 11909011, 11915415, 11919007, 11919449, 11921698, 11926048, 12909404, 12913068, 12983425, 13079795]",12,39.70588714341097,2.0
ECECB048,"[11906298, 11906472, 11909011, 11915415, 11919007, 11919449, 11921698, 11926048, 11926067, 12170711, 12505211, 12909404]",12,47.67733975457053,2.0
ECECB048,"[11906298, 11906472, 11915415, 11919007, 11919449, 11921698, 11926048, 12909404, 12913068, 12983425, 13079795, 13707264]",12,31.65456370885864,2.0
ECECB542,"[11902188, 11903776, 11905818, 11905960, 11910838, 11911731, 11912490, 11917085, 11922175, 12183419, 12286653, 12682237]",12,50.42571258461423,2.0
ECECB040,"[11923956, 12899504, 11933314, 11932453, 12272111, 12986810, 13944812]",7,15.052821294949545,1.1666666666666665
ECECB395,"[11924154, 12050416, 14152866, 11866103, 12909882, 13702693, 13707033, 14155723, 11865996, 14193909]",10,22.052583497963894,1.6666666666666667
ECECB081,"[11924640, 13079657, 13702901, 11924546, 13238433, 12845430, 11924540, 11924512, 11993907, 12503023, 13213634, 13659027]",12,33.88391750859046,2.0
ECECB007,"[11925049, 11909774, 11913548, 12241730, 11913120, 12872632, 11901530, 14061816, 14198993, 11905324, 11909444, 13030642]",12,58.85939122161566,2.0
ECECB019,"[11901413, 11901536, 11925562, 12169421, 12259374, 12561755, 13488595, 14041557, 11884961, 11903582, 11935321, 12157862]",12,40.771085778981096,2.0
ECECB051,"[11906298, 11906472, 11909011, 11910838, 11915415, 11917085, 11919007, 11919449, 11921698, 11926048, 11926067, 12170711]",12,52.966275485804765,2.0
ECECB051,"[11906298, 11906472, 11909011, 11910838, 11915415, 11917085, 11919449, 11926048, 11926067, 12170711, 12183419, 12505211]",12,44.90608456444117,2.0
ECECB072,"[11929414, 11931117, 11933045, 12627367, 11862736, 13663816, 12835674, 12850972, 13990799, 11932004, 12170880, 12531581]",12,21.66814773298114,2.0
ECECB076,"[11929414, 11931117, 11933045, 12627367, 11862736, 13663816, 12206499, 12835674, 12850972, 13990799, 11932004, 14182906]",12,36.702093374230095,2.0
ECECB422,"[11931184, 12616691, 12857464, 12893136, 13150352, 14169601, 14228817, 11928481, 11928596, 11963367, 12235532, 12672904]",12,35.24496546855397,2.0
